sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
144,TCS-5830,Polynomial confinement of the escaping ant,How Long Can The Escaping Ant Be Confined? — Unresolved-question passage on page 16,Computational geometry and metric spaces,quarantined,individual_review,Zlepšuje faktoriální odhad jedné geometrické procházky. Ani společně s TCS-1449 to netvoří hlavní algoritmickou bariéru pro atlas.,,,Can the factorial bound be improved to a polynomial bound in n?,How Long Can The Escaping Ant Be Confined?,https://doi.org/10.4230/LIPIcs.MFCS.2026.49
145,TCS-5833,Other metrics admitting linear-size ABC,On Small Pair Decompositions for Point Sets — Unresolved-question passage on page 16,Computational geometry and metric spaces,quarantined,individual_review,Žádost o další metrické prostory pro konkrétní rozklad dvojic je rozšířením použitelnosti jedné techniky bez stanovené centrální třídy.,,,"Which metric spaces, other than Rd , admit a linear-size ABC?",On Small Pair Decompositions for Point Sets,https://doi.org/10.4230/LIPIcs.ESA.2026.102
146,TCS-5838,Subquadratic-space oriented spanners below stretch two,Sparse Oriented Spanners in Metric Spaces — Unresolved-question passage on page 16,Computational geometry and metric spaces,quarantined,individual_review,Optimalizuje prostor při konkrétním směrovém omezení a prahu dilatace; obecné prostorové meze geometrických struktur mají přednost.,,,Can we compute a sparse oriented spanner with dilation less than 2 using subquadratic space?,Sparse Oriented Spanners in Metric Spaces,https://doi.org/10.4230/LIPIcs.ESA.2026.117
147,TCS-5848,A class completely characterized by a staircode,Elder-Rule-Staircodes for Augmented Metric Spaces — Unresolved-question passage on page 16,Computational geometry and metric spaces,quarantined,individual_review,"Existence nějaké třídy s úplností invariantu nevymezuje netriviální rozsah. Potřebovala by konkrétní významnou třídu, aby šlo o zásadní otázku.",,,Is there any class of aug-MSs X such that E(X ) completely characterizes X ?,Elder-Rule-Staircodes for Augmented Metric Spaces,https://doi.org/10.4230/LIPIcs.SoCG.2020.26
148,TCS-5971,Geometric configurations for explanation lower bounds,Proofs as Explanations: Short Certificates for Reliable Predictions — Open Question 1,Computational geometry and metric spaces,quarantined,individual_review,Hledá specifickou konfiguraci bodů pro dolní mez certifikátů vysvětlení; hlavní otázky spolehlivých predikcí mají větší dosah než tento pomocný příklad.,,,"Can one construct a set S of Ω(d2 ) points in Rd , and a test point x, such that: (1) no matter which point […]",Proofs as Explanations: Short Certificates for Reliable Predictions,https://proceedings.mlr.press/v291/blum25a.html
149,TCS-5981,Fractional coloring of triangle-free V-shape disjointness graphs,Disjointness Graphs of Short Polygonal Chains — Unresolved-question passage on page 11,Computational geometry and metric spaces,quarantined,individual_review,"Současná omezení na tvar, trojúhelníky a zlomkovou barevnost tvoří úzkou extremální kombinatoriku bez hlavního algoritmického cíle.",,,Do there exist triangle-free disjointness graphs of V-shapes with arbitrarily large fractional chromatic number?,Disjointness Graphs of Short Polygonal Chains,https://doi.org/10.4230/LIPIcs.SoCG.2022.56
150,TCS-6027,Constant-workspace tangents for nondisjoint polygons,Outer Common Tangents and Nesting of Convex Hulls in Linear Time and Constant Workspace — Explicit open question on PDF page 3,Computational geometry and metric spaces,quarantined,individual_review,Rozšiřuje lineární algoritmus s konstantní pamětí na překrývající se polygony; jde o konkrétní technický zbývající případ.,,,It remains open whether an outer common tangent of two polygons that are not disjoint can be found in linear time using constant workspace.,Outer Common Tangents and Nesting of Convex Hulls in Linear Time and Constant Workspace,https://doi.org/10.4230/LIPIcs.ESA.2016.4
151,TCS-6051,Binary curves with a ternary mean,On the Hardness of Computing an Average Curve — Unresolved-question passage on page 15,Computational geometry and metric spaces,quarantined,individual_review,"Změna abecedy středu při pevné binární vstupní abecedě je jemná klasifikace average-curve problému, nikoli obecná geometrická bariéra.",,,"Can a mean be found in polynomial time if the input is binary, but the center restricted to be ternary?",On the Hardness of Computing an Average Curve,https://doi.org/10.4230/LIPIcs.SWAT.2020.19
152,TCS-6066,Euclidean MSD hardness in intermediate dimensions,Novel Properties of Hierarchical Probabilistic Partitions and Their Algorithmic Applications — Unresolved-question passage on page 43,Computational geometry and metric spaces,quarantined,individual_review,Vyplňuje dimenzionální interval jedné úlohy; obecné meze metrického shlukování a dimenzionální závislosti jsou silnější kandidáti.,,,We note that the question of NP-hardness for Euclidean MSD when the dimension d lies between 3 and log n i.e. 3 ≤ d < […],Novel Properties of Hierarchical Probabilistic Partitions and Their Algorithmic Applications,https://doi.org/10.1109/FOCS61266.2024.00107
153,TCS-6149,An inverse-Ackermann bound for maximum empty boxes,On the Number of Maximum Empty Boxes Amidst n Points — Unresolved-question passage on page 12,Computational geometry and metric spaces,quarantined,individual_review,Zpřesňuje velmi jemný asymptotický faktor v jednom extremálním odhadu; hlavní geometrické algoritmické mezery mají přednost.,,,Can an upper bound X2 (n) = O(n 2α(n) ) be deduced?,On the Number of Maximum Empty Boxes Amidst n Points,https://doi.org/10.4230/LIPIcs.SoCG.2016.36
154,TCS-6152,Anisohedral polyominoes with translations and half-turns,A Quasilinear-Time Algorithm for Tiling the Plane Isohedrally with a Polyomino — Unresolved-question passage on page 13,Computational geometry and metric spaces,quarantined,individual_review,Existence při přesně omezené množině pohybů je specializovaný dlaždicový případ; obecné rozhodovací problémy dláždění mají větší dosah.,,,Does there exist a polyomino P that has a tiling containing only translations and 180◦ rotations of P and every such tiling is anisohedral?,A Quasilinear-Time Algorithm for Tiling the Plane Isohedrally with a Polyomino,https://doi.org/10.4230/LIPIcs.SoCG.2016.50
155,TCS-6264,Differentiability of paths in constructive-dimension level sets,On the Constructive Dimension Spectrum of Polynomials — Unresolved-question passage on page 12,Computational geometry and metric spaces,quarantined,individual_review,"Jde o jemnou analytickou regularitu úrovňových množin, bez jasného hlavního algoritmického důsledku pro tento TCS výběr.",,,"If every dimension level set in Euclidean space is path-connected, are such paths differentiable almost everywhere, or are there dimension level sets where every continuous […]",On the Constructive Dimension Spectrum of Polynomials,https://doi.org/10.4230/LIPIcs.ICALP.2026.183
156,TCS-6366,Classifying barycentric hyperplanes in one configuration,Barycentric Cuts Through a Convex Body — Explicit open question on PDF page 7,Computational geometry and metric spaces,quarantined,individual_review,"Přesný seznam barycentrických rovin relativně k danému geometrickému objektu je úzká klasifikační domněnka, ne obecná geometrická bariéra.",,,"More concretely, we conjecture that the only barycentric hyperplanes are the following: three planes perpendicular to T which meet T in lines realizing the depth […]",Barycentric Cuts Through a Convex Body,https://doi.org/10.4230/LIPIcs.SoCG.2020.62
157,TCS-6966,Near-linear bichromatic unit-disk matching,Obtain near-linear maximum matching for bichromatic unit disks or squares.,Computational geometry and metric spaces,quarantined,individual_review,Obecný near-linear matching jednotkových disků a čtverců zůstává v TCS-6965; jeho bichromatický podmodel nyní nepočítám jako další hlavní položku.,,TCS-6965,Obtain near-linear maximum matching for bichromatic unit disks or squares.,Some Open Problems in Computational Geometry,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2020.2
158,TCS-0070,Prefix diversity bounds for Boolean languages,Prefix diversity bounds for Boolean languages,Computational complexity,quarantined,individual_review,Meze jedné pomocné míry jazyků mají menší dosah než obecné obvodové a formulové dolní meze; v záznamu není uveden zásadní důsledek pro ně.,,,Prefix diversity bounds for Boolean languages,"Circuits, Logic and Games",https://doi.org/10.4230/DagRep.5.9.105
159,TCS-0299,Direct sum of the fork relation,The direct sum of the fork relation,Computational complexity,quarantined,individual_review,"Přímý součet jedné konkrétní relace je užší než obecné direct-sum a kompoziční otázky, které oblast reprezentují lépe.",,,The direct sum of the fork relation,Computational Complexity of Discrete Problems,https://doi.org/10.4230/DagRep.7.3.45
160,TCS-1172,Subgroups collapsing under variable identifications,"Describe subgroups Γ ≤ Sn such that under the following restrictions: setting variables equal to each other, setting variables as 1, the group collapses to […]",Computational complexity,quarantined,individual_review,Klasifikace podgrup při určených substitucích je pomocný algebraický krok jedné metody obvodových dolních mezí; samotné dolní meze mají přednost.,,,"Describe subgroups Γ ≤ Sn such that under the following restrictions: setting variables equal to each other, setting variables as 1, the group collapses to […]",On CC⁰ Lower Bounds for AND via Torus Polynomials,https://doi.org/10.4230/LIPIcs.MFCS.2026.62
161,TCS-1556,Quantum time against a PSPACE-random permutation,"If π is a pspace-random permutation and T (n) = o(2n/3 ), is NLINπ ∩coNLINπ not contained in BQTIMEπ (T (n))?",Computational complexity,quarantined,individual_review,"Separace kombinuje konkrétní náhodné orákulum, lineární nedeterminismus a přesný časový režim; standardní kvantově-klasické separace jsou zásadnější.",,,"If π is a pspace-random permutation and T (n) = o(2n/3 ), is NLINπ ∩coNLINπ not contained in BQTIMEπ (T (n))?",Random Permutations in Computational Complexity,https://doi.org/10.4230/LIPIcs.MFCS.2025.58
